1,"[1, 0, 1]",2,bad
1,"[2, 1, 1]",0,good
3,"[0, 0, 0]",1,bad
3,"[1, 1, 0]",0,good
3,"[2, 1, 1]",2,good
3,"[5, 1, 1]",1,good
3,"[5, 1, 2]",3,bad
2,"[1, 0, 0]",1,good
2,"[1, 0, 0]",0,good
2,"[1, 1, 0]",2,neutral
2,"[3, 1, 1]",1,good
2,"[4, 1, 1]",3,neutral
2,"[6, 1, 2]",3,good
2,"[8, 1, 3]",2,good
2,"[7, 1, 4]",0,neutral
2,"[8, 2, 4]",0,good
2,"[9, 3, 4]",0,good
2,"[9, 4, 4]",1,good
2,"[11, 4, 4]",0,good
2,"[10, 5, 4]",3,neutral
2,"[11, 5, 5]",2,good
2,"[11, 5, 6]",2,good
2,"[10, 5, 7]",2,neutral
2,"[10, 5, 8]",0,good
2,"[10, 6, 8]",1,good
2,"[1, 0, 0]",2,good
1,"[1, 0, 0]",1,good
1,"[1, 0, 0]",3,good
1,"[3, 0, 1]",1,good
1,"[4, 0, 1]",1,good
1,"[4, 0, 1]",2,neutral
2,"[1, 0, 0]",0,good
2,"[0, 1, 0]",3,neutral
2,"[0, 0, 0]",3,neutral
2,"[1, 0, 0]",1,good
3,"[1, 0, 0]",0,good
1,"[-1, 0, 0]",2,bad
1,"[1, 0, 1]",0,good
1,"[1, 1, 1]",1,good
1,"[3, 1, 1]",2,neutral
1,"[3, 1, 2]",2,good
1,"[5, 1, 3]",0,good
1,"[4, 2, 3]",2,bad
1,"[5, 2, 4]",1,good
1,"[1, 0, 0]",1,good
1,"[1, -1, 0]",2,good
1,"[-1, -1, 0]",3,bad
1,"[-1, -1, 0]",1,bad
1,"[-1, -1, 0]",1,bad
1,"[-1, -1, 0]",1,bad
1,"[-1, -1, 0]",3,bad
1,"[-1, -1, 0]",0,bad
1,"[-1, -1, 0]",1,bad
1,"[-1, -1, 0]",3,bad
1,"[-1, -1, 0]",0,bad
1,"[-1, -1, 0]",2,bad
1,"[-1, -1, 0]",1,bad
1,"[-1, -1, 0]",0,bad
1,"[-1, -1, 0]",3,bad
1,"[-1, -1, 0]",0,bad
1,"[-1, -1, 0]",1,bad
1,"[-1, -1, 0]",2,bad
2,"[1, 0, 0]",1,good
2,"[-1, 0, 0]",2,bad
3,"[-1, 0, 0]",0,bad
3,"[0, 0, 0]",1,neutral
3,"[-1, -1, 0]",1,bad
